age,gender,education,department,job_role,monthly_income,years_at_company,promotions,overtime,performance_rating,attrition
33,Male,Post-Graduate,IT,Lead,60960,8,1,No,2,0
43,Male,Graduate,IT,Lead,105204,7,2,Yes,1,1
39,Female,Graduate,IT,Lead,80015,5,1,No,2,1
36,Male,Post-Graduate,HR,Lead,62610,8,1,Yes,2,0
39,Male,PhD,HR,Manager,59248,7,1,Yes,2,0
43,Female,Post-Graduate,IT,Lead,73684,8,2,No,2,1
36,Male,Post-Graduate,HR,Lead,47206,6,1,No,2,0
47,Female,Post-Graduate,HR,Executive,54797,7,2,No,2,1
41,Male,Post-Graduate,HR,Lead,77206,6,0,No,2,0
41,Female,Post-Graduate,Finance,Lead,90549,8,2,No,3,1
32,Male,Post-Graduate,HR,Lead,53211,10,2,Yes,3,0
36,Female,Post-Graduate,IT,Lead,100061,6,3,No,2,1
33,Male,Post-Graduate,IT,Manager,69538,9,1,No,2,0
42,Female,Post-Graduate,HR,Lead,57747,4,1,Yes,3,0
38,Male,Graduate,IT,Lead,82748,7,1,Yes,2,1
40,Male,Graduate,IT,Lead,81269,7,1,No,2,1
36,Male,Post-Graduate,HR,Lead,58543,8,1,Yes,2,0
49,Female,Post-Graduate,IT,Lead,75356,8,2,Yes,2,1
45,Male,Post-Graduate,IT,Lead,85348,7,1,No,2,1
36,Male,Graduate,IT,Lead,89015,9,1,No,2,0
35,Male,Post-Graduate,IT,Lead,59944,8,1,No,2,0
48,Female,Post-Graduate,IT,Lead,55063,7,1,No,2,1
40,Female,Graduate,IT,Executive,79219,4,2,No,2,1
37,Male,Post-Graduate,IT,Manager,74204,8,1,No,2,1
47,Male,Graduate,IT,Lead,83300,10,2,Yes,1,1
42,Female,Post-Graduate,IT,Lead,62841,9,2,No,2,1
38,Male,PhD,HR,Manager,55297,8,1,No,1,0
31,Male,Post-Graduate,IT,Manager,64989,11,0,No,1,0
35,Male,Post-Graduate,IT,Lead,74081,8,1,No,2,0
36,Male,Post-Graduate,IT,Lead,69740,7,1,No,2,0
42,Male,Graduate,IT,Lead,87565,9,1,Yes,1,1
42,Male,Post-Graduate,HR,Manager,41002,3,1,Yes,2,0
47,Female,PhD,IT,Manager,55012,9,2,No,2,1
35,Male,Post-Graduate,HR,Manager,62938,9,1,Yes,2,0
41,Male,Post-Graduate,IT,Lead,73819,6,1,No,2,1
40,Male,Post-Graduate,HR,Manager,60365,6,1,Yes,2,1
49,Male,Post-Graduate,IT,Lead,80510,9,2,Yes,1,1
40,Female,Post-Graduate,IT,Lead,54903,4,1,No,3,0
41,Female,Post-Graduate,HR,Lead,49883,3,1,No,2,0
42,Male,Post-Graduate,HR,Manager,47810,3,0,Yes,2,0
37,Male,PhD,HR,Lead,60690,7,1,No,2,0
38,Male,Post-Graduate,HR,Lead,53705,5,1,No,2,0
38,Male,Post-Graduate,Finance,Lead,80049,8,2,No,2,1
35,Male,Post-Graduate,HR,Manager,59667,8,1,No,1,0
39,Male,Post-Graduate,IT,Lead,78374,8,1,No,2,1
36,Male,Post-Graduate,IT,Lead,70215,7,1,No,2,0
34,Male,Post-Graduate,Finance,Manager,61424,7,0,No,1,0
46,Female,Post-Graduate,HR,Executive,62583,8,2,Yes,2,1
50,Female,Post-Graduate,IT,Lead,62430,9,2,No,2,1
42,Male,PhD,HR,Manager,48671,5,1,No,2,0
33,Male,Post-Graduate,IT,Lead,74143,10,1,No,2,0
37,Male,Post-Graduate,HR,Lead,57625,7,1,No,2,0
42,Female,Post-Graduate,IT,Lead,85776,5,2,No,2,1
36,Male,Graduate,IT,Lead,93768,7,1,No,2,1
42,Male,Post-Graduate,HR,Manager,45881,4,0,No,2,0
40,Female,Post-Graduate,IT,Lead,60158,4,1,No,2,0
37,Male,Post-Graduate,IT,Manager,70879,7,1,Yes,1,1
31,Male,Post-Graduate,IT,Manager,40476,9,2,No,2,0
36,Male,Graduate,IT,Lead,70968,8,1,No,2,1
33,Male,Post-Graduate,HR,Lead,63400,10,1,Yes,2,0
42,Female,Post-Graduate,IT,Lead,66578,7,1,No,2,1
40,Female,Post-Graduate,HR,Lead,60292,6,1,No,2,1
43,Male,Post-Graduate,HR,Manager,41701,3,1,Yes,2,0
35,Female,Post-Graduate,HR,Lead,51545,7,2,No,2,0
41,Male,Post-Graduate,IT,Lead,71722,7,1,No,2,1
32,Male,Post-Graduate,IT,Manager,57090,9,1,No,2,0
37,Female,Post-Graduate,HR,Lead,50910,6,1,No,2,0
33,Male,Post-Graduate,IT,Lead,50753,9,2,Yes,3,0
39,Male,Post-Graduate,HR,Lead,84345,5,1,No,2,1
41,Female,Post-Graduate,Sales,Executive,82380,3,2,Yes,1,1
38,Male,Post-Graduate,IT,Manager,79576,8,0,No,1,0
41,Male,PhD,Sales,Lead,65436,7,1,Yes,2,0
29,Male,Post-Graduate,IT,Lead,58866,10,2,No,2,0
27,Male,Post-Graduate,Finance,Manager,63271,12,1,No,1,0
36,Male,Post-Graduate,IT,Manager,69253,7,2,No,2,1
41,Male,Graduate,Finance,Lead,92601,10,2,Yes,2,1
34,Male,Post-Graduate,IT,Manager,51907,8,1,No,2,0
39,Female,Post-Graduate,IT,Lead,61881,5,1,No,2,0
37,Male,Graduate,IT,Lead,78729,6,1,No,2,1
41,Male,Post-Graduate,HR,Manager,69183,5,0,Yes,2,0
29,Male,Post-Graduate,IT,Manager,54583,11,1,No,1,0
44,Female,Post-Graduate,IT,Lead,77928,8,2,No,2,1
43,Male,Post-Graduate,IT,Lead,63276,7,1,No,2,1
43,Female,Post-Graduate,IT,Lead,39119,7,1,No,2,1
42,Female,Post-Graduate,IT,Lead,66388,7,1,No,2,1
46,Male,Post-Graduate,Finance,Manager,56053,9,1,No,2,1
36,Male,Post-Graduate,IT,Manager,53330,6,1,No,2,0
45,Male,Post-Graduate,IT,Lead,69048,8,2,No,2,1
37,Male,PhD,Sales,Manager,37131,6,1,Yes,2,0
35,Male,Post-Graduate,IT,Lead,88787,7,1,No,2,1
41,Male,Graduate,IT,Lead,78724,8,1,Yes,2,1
47,Male,Graduate,IT,Manager,72122,10,1,Yes,2,1
35,Male,Graduate,IT,Lead,82546,6,1,Yes,2,1
39,Male,Graduate,IT,Lead,69134,11,1,Yes,2,1
33,Male,PhD,HR,Lead,76181,10,1,No,1,0
46,Male,Post-Graduate,Finance,Manager,75585,12,2,Yes,2,1
37,Male,Graduate,Finance,Lead,78972,9,1,No,3,1
45,Male,Post-Graduate,Sales,Lead,59842,4,1,Yes,2,0
33,Male,Post-Graduate,HR,Lead,51586,9,2,No,2,0
35,Male,Post-Graduate,HR,Lead,67077,8,2,Yes,3,0
38,Male,Post-Graduate,IT,Lead,77146,8,1,No,2,0
33,Male,Post-Graduate,IT,Lead,69357,8,1,No,2,0
41,Male,Graduate,Finance,Lead,90545,8,1,Yes,2,1
42,Male,Post-Graduate,HR,Manager,58779,4,0,Yes,2,0
35,Female,Post-Graduate,HR,Lead,59282,8,2,Yes,3,0
41,Male,Post-Graduate,HR,Lead,78795,6,1,No,2,0
36,Male,Post-Graduate,HR,Manager,53414,7,0,Yes,1,0
39,Male,Post-Graduate,Sales,Lead,62964,6,1,Yes,2,0
33,Male,Post-Graduate,IT,Lead,78074,9,1,No,2,0
37,Female,Post-Graduate,HR,Lead,58016,7,2,Yes,3,0
35,Male,Graduate,IT,Manager,83171,5,2,Yes,1,1
38,Male,Post-Graduate,IT,Lead,72952,6,1,No,2,0
39,Female,Post-Graduate,IT,Lead,72337,6,1,No,2,1
35,Male,Post-Graduate,IT,Manager,53700,7,0,No,2,0
46,Male,Post-Graduate,IT,Lead,91649,6,2,Yes,2,1
37,Male,Post-Graduate,IT,Lead,91190,8,2,Yes,2,1
41,Female,Post-Graduate,IT,Lead,90324,5,2,No,2,1
44,Male,Graduate,IT,Executive,84072,9,2,Yes,2,1
38,Male,Post-Graduate,Finance,Manager,95213,10,1,Yes,2,1
37,Male,Post-Graduate,HR,Lead,58336,6,1,No,2,0
38,Male,Post-Graduate,HR,Manager,50596,5,1,No,2,0
37,Male,Graduate,HR,Lead,57479,7,1,No,2,0
46,Male,Graduate,HR,Lead,80427,7,2,Yes,1,1
47,Female,Post-Graduate,HR,Executive,84915,4,2,No,2,1
37,Male,Post-Graduate,IT,Manager,55465,7,1,No,1,1
31,Male,Post-Graduate,IT,Manager,81399,4,1,No,2,1
41,Male,Post-Graduate,HR,Manager,54548,5,1,No,2,0
35,Male,Post-Graduate,IT,Lead,57238,7,1,No,2,0
42,Female,Post-Graduate,IT,Lead,67938,7,2,No,2,1
39,Male,Post-Graduate,IT,Lead,65153,9,1,No,2,1
40,Male,PhD,HR,Lead,56236,5,1,No,2,0
43,Male,Post-Graduate,Finance,Lead,86358,8,2,No,2,1
45,Female,Post-Graduate,HR,Lead,48014,1,1,Yes,2,0
42,Female,Post-Graduate,IT,Lead,66145,8,2,No,2,1
34,Male,Post-Graduate,IT,Manager,51923,7,1,No,2,0
40,Female,Post-Graduate,IT,Lead,65181,7,2,No,2,1
42,Male,Post-Graduate,HR,Manager,50935,4,1,Yes,2,0
40,Male,Post-Graduate,IT,Lead,81413,7,2,Yes,2,1
43,Female,Post-Graduate,IT,Lead,86412,6,2,No,2,1
45,Male,Post-Graduate,IT,Manager,76293,4,0,No,2,0
35,Male,Post-Graduate,HR,Manager,52702,8,1,Yes,2,0
41,Male,Graduate,Finance,Lead,70372,9,2,No,2,1
40,Male,Post-Graduate,IT,Manager,57849,5,0,No,1,0
41,Female,Post-Graduate,HR,Lead,68360,5,2,Yes,2,1
34,Male,Post-Graduate,HR,Lead,68657,9,1,No,2,0
39,Female,Post-Graduate,HR,Executive,75512,4,1,No,2,1
38,Female,Post-Graduate,IT,Lead,81357,4,2,No,2,1
27,Male,Post-Graduate,HR,Manager,45860,11,1,Yes,2,0
37,Male,Post-Graduate,HR,Manager,40835,6,1,No,1,0
37,Male,Post-Graduate,HR,Manager,76315,5,2,Yes,1,1
36,Female,PhD,HR,Lead,56528,7,1,No,2,0
33,Male,Post-Graduate,HR,Manager,42597,8,1,No,1,0
38,Male,PhD,HR,Manager,53968,6,1,No,1,0
39,Male,Post-Graduate,IT,Manager,61450,5,1,No,2,0
32,Male,Post-Graduate,HR,Lead,57626,10,2,No,2,0
39,Male,Graduate,Finance,Lead,84507,7,1,No,2,1
33,Male,Post-Graduate,IT,Lead,63767,9,1,No,2,0
38,Male,Post-Graduate,HR,Lead,52339,6,1,No,2,1
35,Male,Post-Graduate,IT,Lead,58144,7,1,No,2,0
33,Male,Post-Graduate,IT,Manager,69555,10,1,No,1,0
34,Male,Post-Graduate,HR,Lead,72172,9,1,Yes,2,0
41,Male,Graduate,IT,Lead,77670,7,1,No,2,1
38,Male,PhD,HR,Lead,63930,8,1,No,2,0
37,Male,Graduate,Finance,Lead,79007,7,1,No,2,0
46,Female,Post-Graduate,Sales,Lead,50171,2,1,Yes,3,0
41,Female,Post-Graduate,IT,Lead,72257,7,2,No,2,1
44,Male,Post-Graduate,IT,Lead,83054,8,2,Yes,2,1
39,Male,Post-Graduate,IT,Manager,65057,5,0,No,1,0
36,Female,Post-Graduate,IT,Lead,101498,5,2,No,3,1
40,Male,Post-Graduate,IT,Lead,64852,6,1,Yes,3,0
41,Female,Post-Graduate,Finance,Lead,88049,7,2,No,3,1
39,Female,Post-Graduate,IT,Lead,72839,7,2,No,2,1
34,Male,Graduate,Finance,Lead,107070,10,2,Yes,2,1
45,Female,Post-Graduate,IT,Lead,85160,4,2,No,3,1
46,Female,PhD,IT,Lead,67438,6,2,No,2,1
41,Male,Post-Graduate,IT,Lead,79105,6,2,Yes,2,1
42,Female,Post-Graduate,IT,Lead,66913,7,2,No,3,1
39,Male,Post-Graduate,IT,Manager,77494,5,1,Yes,1,1
40,Male,Graduate,HR,Lead,83585,7,1,Yes,1,1
38,Male,Post-Graduate,HR,Manager,59037,6,1,No,2,0
40,Male,Post-Graduate,IT,Lead,71576,9,2,No,2,1
35,Female,Post-Graduate,HR,Lead,53598,8,2,No,3,0
40,Male,Post-Graduate,HR,Lead,52620,6,1,Yes,2,0
37,Male,Post-Graduate,HR,Manager,48956,7,1,No,2,0
44,Female,Post-Graduate,HR,Lead,67348,2,1,No,2,0
40,Male,Post-Graduate,HR,Lead,56016,5,1,Yes,2,0
48,Female,Post-Graduate,IT,Lead,71383,8,2,No,2,1
33,Male,Post-Graduate,HR,Manager,50272,8,1,No,1,0
27,Male,Post-Graduate,HR,Manager,37231,11,2,No,2,0
36,Male,PhD,Sales,Lead,53480,9,1,Yes,2,0
43,Male,Post-Graduate,IT,Lead,70325,5,1,No,2,1
43,Male,Post-Graduate,HR,Lead,85626,7,2,Yes,2,1
37,Female,Post-Graduate,HR,Lead,88620,5,2,No,2,1
39,Male,Post-Graduate,IT,Lead,77245,8,2,No,2,1
44,Male,Post-Graduate,IT,Lead,58100,7,1,No,2,1
36,Male,Post-Graduate,IT,Lead,71926,7,1,No,2,1
36,Male,Graduate,IT,Lead,77897,7,1,Yes,1,1
44,Male,Graduate,IT,Lead,90288,7,2,Yes,2,1
38,Male,Post-Graduate,IT,Lead,81291,7,1,No,2,0
35,Male,Post-Graduate,IT,Manager,50636,6,1,No,2,0
44,Male,Graduate,HR,Executive,78955,7,2,Yes,1,1
41,Male,PhD,Sales,Manager,58489,6,1,Yes,2,0
42,Male,Post-Graduate,HR,Lead,62349,4,1,No,2,0
46,Male,Post-Graduate,IT,Lead,64295,8,1,No,1,1
42,Female,Post-Graduate,Finance,Lead,83509,8,2,No,2,0
44,Male,Post-Graduate,IT,Lead,76081,7,2,No,2,1
44,Male,Graduate,Finance,Manager,79268,10,1,Yes,2,1
52,Female,PhD,IT,Lead,74414,7,2,No,2,1
38,Male,Post-Graduate,IT,Lead,85124,9,1,No,2,0
43,Male,Post-Graduate,IT,Lead,69217,11,1,Yes,2,1
38,Female,Post-Graduate,IT,Manager,85185,4,1,No,2,1
40,Male,Post-Graduate,HR,Lead,82674,4,1,Yes,1,1
41,Male,Graduate,Finance,Lead,66144,9,2,No,2,1
47,Female,Post-Graduate,IT,Lead,72452,6,2,No,2,1
36,Male,Post-Graduate,IT,Lead,72502,7,1,No,2,0
37,Male,Post-Graduate,HR,Lead,55701,5,1,Yes,2,0
41,Female,Post-Graduate,HR,Lead,59003,3,1,Yes,3,0
44,Female,Post-Graduate,HR,Lead,69287,5,2,No,2,1
40,Female,Post-Graduate,HR,Executive,82669,6,2,No,3,0
42,Male,Post-Graduate,Finance,Manager,80371,9,2,No,2,1
39,Female,Post-Graduate,IT,Lead,87583,5,1,No,2,1
36,Male,Post-Graduate,HR,Lead,56491,6,1,No,2,1
37,Male,Post-Graduate,HR,Lead,74549,8,1,No,2,0
36,Male,Post-Graduate,HR,Manager,54973,8,0,Yes,2,0
36,Male,Post-Graduate,HR,Manager,56076,7,1,No,2,0
38,Male,Post-Graduate,IT,Lead,73127,5,1,No,2,1
36,Female,Post-Graduate,IT,Lead,70699,7,2,No,2,0
39,Male,Graduate,Finance,Lead,62270,7,1,No,2,1
41,Male,Post-Graduate,IT,Lead,60453,7,1,No,2,1
36,Female,Post-Graduate,IT,Lead,70570,6,2,No,2,1
38,Male,Post-Graduate,IT,Manager,47138,5,1,No,2,0
43,Female,Post-Graduate,HR,Executive,75219,5,2,No,2,1
41,Female,Post-Graduate,Finance,Manager,65520,8,1,No,3,1
32,Male,Post-Graduate,IT,Lead,83603,10,1,No,2,0
41,Male,Post-Graduate,HR,Lead,77992,6,1,Yes,3,0
40,Male,Graduate,IT,Lead,48931,9,1,No,2,1
38,Female,Post-Graduate,HR,Manager,37827,5,1,Yes,2,0
42,Male,Graduate,Finance,Lead,108935,8,2,Yes,2,1
32,Male,Graduate,IT,Lead,77044,8,1,No,2,0
41,Male,Graduate,IT,Lead,93544,6,2,Yes,1,1
34,Female,Post-Graduate,IT,Lead,64299,9,2,No,3,0
42,Male,Post-Graduate,IT,Lead,73271,8,2,Yes,2,1
46,Female,Post-Graduate,IT,Executive,84759,8,2,No,3,0
37,Male,Post-Graduate,HR,Lead,56740,8,1,Yes,2,0
32,Male,Post-Graduate,IT,Manager,47649,9,1,Yes,2,0
40,Female,Post-Graduate,HR,Lead,58908,5,1,Yes,2,0
31,Male,Post-Graduate,IT,Manager,61827,10,1,No,2,0
41,Female,Post-Graduate,HR,Lead,83453,4,2,Yes,1,1
36,Male,Post-Graduate,IT,Manager,51703,7,1,No,2,0
32,Male,Post-Graduate,IT,Manager,56523,9,1,No,1,0
36,Male,PhD,HR,Manager,52478,8,0,No,1,0
36,Male,Post-Graduate,HR,Lead,66939,8,1,Yes,2,0
37,Male,Post-Graduate,IT,Manager,48467,7,1,Yes,2,1
41,Female,Post-Graduate,HR,Executive,74125,5,2,No,2,1
33,Male,Post-Graduate,HR,Manager,50742,8,1,No,2,0
34,Male,Post-Graduate,IT,Manager,66447,8,1,No,2,0
44,Male,Post-Graduate,IT,Lead,83894,8,2,Yes,2,1
38,Male,Post-Graduate,HR,Manager,57225,6,1,No,1,0
40,Male,PhD,Sales,Lead,53404,6,1,Yes,2,0
43,Male,Post-Graduate,IT,Lead,67656,7,2,No,2,1
41,Female,Post-Graduate,IT,Lead,65741,7,2,No,2,1
38,Male,Graduate,IT,Manager,71174,6,1,No,2,0
37,Male,PhD,Sales,Lead,59743,7,1,Yes,1,0
39,Male,Post-Graduate,HR,Lead,57697,6,1,No,2,0
37,Male,Post-Graduate,HR,Manager,77230,8,0,Yes,1,0
34,Male,Post-Graduate,IT,Lead,58561,8,1,No,2,0
47,Female,Post-Graduate,IT,Lead,86924,7,2,Yes,2,1
31,Male,Post-Graduate,IT,Manager,56717,10,1,No,2,0
41,Male,Post-Graduate,IT,Manager,85095,7,2,No,2,1
36,Male,Post-Graduate,IT,Lead,72402,7,1,No,2,0
41,Male,Post-Graduate,HR,Manager,56776,5,0,No,1,0
49,Male,Graduate,Finance,Lead,73401,9,2,No,3,1
35,Male,Graduate,IT,Manager,66994,6,1,No,2,0
32,Female,PhD,HR,Manager,24999,7,2,No,2,0
38,Male,Post-Graduate,IT,Manager,66157,6,0,No,2,0
35,Male,PhD,Sales,Manager,33757,8,1,Yes,1,0
45,Male,Post-Graduate,HR,Manager,58059,3,0,Yes,1,0
35,Male,Post-Graduate,IT,Lead,64450,8,1,No,2,0
39,Male,PhD,HR,Manager,54144,6,0,No,1,0
31,Male,Post-Graduate,Finance,Manager,52236,7,1,No,2,0
40,Male,Graduate,HR,Lead,78820,4,1,Yes,1,1
41,Male,Graduate,IT,Lead,69412,7,1,Yes,2,1
39,Male,Post-Graduate,HR,Lead,65076,7,1,Yes,2,0
29,Male,Post-Graduate,IT,Lead,57090,11,2,No,2,0
39,Male,Post-Graduate,HR,Lead,75164,5,2,Yes,1,1
39,Male,Post-Graduate,HR,Manager,60297,6,1,No,1,0
42,Female,Post-Graduate,IT,Executive,79834,7,2,No,2,1
41,Female,Post-Graduate,IT,Lead,69198,8,2,No,2,1
40,Male,Post-Graduate,IT,Lead,64172,5,1,No,2,0
44,Male,Post-Graduate,HR,Manager,48308,3,0,Yes,2,0
32,Male,Post-Graduate,IT,Manager,57588,9,1,No,2,0
40,Male,Post-Graduate,Finance,Lead,83036,9,2,No,2,1
29,Male,Post-Graduate,IT,Lead,69430,11,2,No,2,0
26,Male,Post-Graduate,IT,Manager,51361,13,2,No,2,0
35,Male,Post-Graduate,HR,Lead,73874,9,1,No,2,0
32,Male,Post-Graduate,HR,Lead,73647,11,2,Yes,2,0
41,Male,Post-Graduate,IT,Lead,74655,9,2,No,2,1
36,Male,Post-Graduate,IT,Lead,81602,9,1,No,2,0
34,Male,Post-Graduate,HR,Manager,49092,7,1,No,2,0
40,Male,Post-Graduate,HR,Manager,52103,4,0,Yes,1,1
34,Male,Post-Graduate,Sales,Lead,64995,10,2,Yes,2,0
37,Male,Post-Graduate,HR,Manager,49122,8,1,Yes,2,0
36,Male,Post-Graduate,IT,Lead,71925,6,1,No,2,1
42,Male,Post-Graduate,IT,Lead,85163,8,2,Yes,1,1
38,Male,Post-Graduate,IT,Manager,66844,7,0,No,1,0
36,Male,Post-Graduate,HR,Manager,52987,7,1,No,2,0
42,Male,Post-Graduate,IT,Lead,73122,8,2,Yes,1,1
32,Male,Post-Graduate,IT,Lead,54024,8,2,No,2,0
40,Male,Graduate,IT,Manager,55243,4,1,No,2,0
38,Male,Post-Graduate,HR,Lead,71096,6,1,Yes,2,0
41,Male,Post-Graduate,HR,Lead,73874,6,1,Yes,1,1
44,Male,Post-Graduate,Sales,Lead,61509,4,1,Yes,2,0
37,Female,Post-Graduate,IT,Lead,64787,6,2,No,3,0
37,Male,Post-Graduate,IT,Lead,79229,7,1,No,2,0
35,Male,Post-Graduate,IT,Manager,45209,6,1,No,2,0
39,Male,Post-Graduate,IT,Lead,74780,7,1,No,2,1
48,Male,Post-Graduate,IT,Lead,65286,10,2,No,2,1
41,Male,Post-Graduate,HR,Lead,68075,5,0,Yes,2,0
40,Female,Post-Graduate,HR,Lead,63585,5,1,Yes,3,0
33,Male,Post-Graduate,IT,Manager,62345,9,1,No,1,0
42,Male,Post-Graduate,IT,Manager,64181,4,0,No,2,0
45,Male,Post-Graduate,IT,Lead,80393,8,2,Yes,2,1
38,Male,PhD,HR,Manager,37320,5,1,No,1,0
31,Male,Post-Graduate,HR,Manager,57088,10,1,Yes,2,0
37,Male,Post-Graduate,IT,Lead,66453,6,1,No,2,0
43,Male,Graduate,IT,Lead,74430,9,2,Yes,2,1
36,Male,Graduate,IT,Lead,88482,8,1,No,2,0
51,Female,Post-Graduate,IT,Lead,73163,8,3,Yes,2,1
42,Female,Post-Graduate,HR,Lead,55793,6,1,No,2,1
37,Male,Post-Graduate,IT,Lead,59535,6,1,No,3,0
36,Female,Post-Graduate,IT,Lead,68668,5,2,No,2,1
30,Male,Post-Graduate,IT,Lead,62599,11,2,Yes,2,0
50,Female,Post-Graduate,IT,Lead,78188,9,3,No,2,1
40,Male,Post-Graduate,IT,Lead,92263,7,2,Yes,2,1
45,Female,Post-Graduate,IT,Lead,57939,8,2,No,2,1
42,Male,Post-Graduate,HR,Lead,76902,5,0,No,2,0
35,Male,Post-Graduate,HR,Lead,72496,9,1,No,2,0
36,Male,Post-Graduate,HR,Lead,61515,8,1,No,2,0
32,Male,Post-Graduate,IT,Manager,65153,10,1,No,2,0
40,Male,Graduate,IT,Lead,106880,7,2,Yes,2,1
39,Male,Post-Graduate,IT,Manager,68268,5,1,No,2,0
43,Male,Graduate,IT,Lead,80723,7,1,Yes,1,1
45,Female,Post-Graduate,IT,Executive,83368,7,2,No,3,1
35,Male,PhD,HR,Lead,51853,9,1,Yes,2,0
44,Male,Post-Graduate,IT,Lead,69551,10,1,No,2,1
35,Male,Graduate,HR,Lead,62122,5,1,No,2,1
39,Male,Post-Graduate,IT,Lead,76266,7,1,No,2,1
37,Female,Graduate,IT,Lead,78085,6,2,No,2,1
43,Male,Post-Graduate,IT,Lead,52829,10,1,Yes,1,1
46,Male,Post-Graduate,Finance,Lead,78672,9,2,Yes,2,1
47,Female,Post-Graduate,HR,Lead,64678,7,2,Yes,2,1
33,Male,PhD,Sales,Lead,46832,9,2,Yes,2,0
33,Male,Post-Graduate,IT,Lead,60251,9,1,No,2,0
36,Male,Post-Graduate,Finance,Lead,58329,8,1,No,3,1
46,Male,Graduate,IT,Lead,69616,10,2,Yes,2,1
36,Male,Post-Graduate,IT,Lead,62705,6,1,No,2,0
35,Male,Post-Graduate,IT,Manager,64900,7,1,No,2,1
46,Female,Post-Graduate,IT,Lead,68386,6,2,No,2,1
40,Female,PhD,Sales,Lead,48859,5,2,Yes,2,0
47,Female,Post-Graduate,HR,Executive,84720,6,2,Yes,2,1
37,Male,Graduate,Finance,Lead,82062,7,1,No,3,0
33,Male,PhD,HR,Lead,59668,9,2,Yes,2,0
44,Male,PhD,Sales,Manager,47267,2,0,Yes,1,0
34,Male,Post-Graduate,HR,Lead,49917,8,2,Yes,2,0
35,Male,Post-Graduate,IT,Manager,43704,6,1,No,2,0
41,Female,Post-Graduate,IT,Lead,77313,5,2,No,3,1
49,Female,Post-Graduate,Finance,Lead,103388,5,2,Yes,2,1
35,Male,Post-Graduate,IT,Manager,92879,6,2,Yes,1,1
43,Female,Post-Graduate,IT,Lead,77506,7,2,Yes,2,1
37,Male,Post-Graduate,HR,Lead,51667,6,2,Yes,2,0
41,Male,Graduate,Finance,Lead,72003,8,2,No,2,1
35,Male,Post-Graduate,HR,Lead,56435,7,1,Yes,2,0
42,Female,Post-Graduate,HR,Lead,77451,5,1,No,2,1
43,Female,Post-Graduate,HR,Lead,75529,4,2,Yes,1,1
39,Male,Post-Graduate,HR,Manager,65003,7,1,No,1,0
46,Female,Post-Graduate,IT,Lead,89339,7,3,Yes,2,1
41,Male,Post-Graduate,IT,Lead,77704,8,1,No,2,1
41,Female,Post-Graduate,HR,Lead,69264,3,2,No,2,1
38,Female,Post-Graduate,IT,Lead,87636,4,2,No,2,1
38,Male,Graduate,IT,Lead,64445,8,1,No,2,1
42,Female,Post-Graduate,IT,Lead,52902,8,2,No,2,1
44,Male,Graduate,HR,Lead,66919,7,2,Yes,1,1
49,Female,Post-Graduate,Finance,Lead,84345,8,2,Yes,2,1
37,Female,Post-Graduate,IT,Lead,108726,4,2,No,3,1
47,Male,Post-Graduate,IT,Lead,94089,6,2,Yes,2,1
36,Female,Post-Graduate,IT,Lead,50812,6,1,No,2,0
38,Male,Post-Graduate,HR,Lead,52773,6,1,Yes,2,0
41,Female,PhD,HR,Lead,84061,4,2,No,2,1
38,Male,Post-Graduate,HR,Manager,59111,6,0,Yes,2,0
41,Male,Post-Graduate,IT,Lead,75497,5,0,No,2,0
42,Female,Post-Graduate,IT,Lead,50406,7,1,No,2,1
42,Male,Post-Graduate,HR,Lead,77454,6,1,Yes,2,0
40,Female,Post-Graduate,IT,Lead,75148,7,1,No,3,1
43,Female,Post-Graduate,HR,Lead,63209,2,2,Yes,1,1
44,Male,Graduate,HR,Lead,79107,5,1,Yes,1,1
50,Female,Post-Graduate,IT,Executive,67328,8,3,No,2,1
34,Male,Post-Graduate,IT,Manager,65832,7,0,No,1,0
36,Male,Post-Graduate,IT,Manager,78540,7,1,No,2,1
34,Male,Post-Graduate,IT,Lead,83275,3,1,No,2,1
31,Male,Post-Graduate,IT,Lead,97421,12,1,No,2,0
35,Male,Post-Graduate,HR,Lead,68589,9,1,Yes,2,0
37,Male,Post-Graduate,HR,Manager,71161,8,0,Yes,1,0
29,Male,Post-Graduate,IT,Lead,63880,10,1,No,2,0
45,Female,Post-Graduate,HR,Lead,94147,5,2,Yes,2,1
30,Male,PhD,HR,Manager,59147,11,1,No,1,0
39,Female,Post-Graduate,IT,Lead,114605,5,2,Yes,2,1
37,Male,Post-Graduate,HR,Lead,71354,7,1,No,2,0
45,Male,Post-Graduate,IT,Lead,75477,6,2,Yes,2,1
39,Female,Post-Graduate,HR,Executive,63037,3,1,No,2,1
33,Male,Post-Graduate,IT,Manager,40383,8,2,Yes,2,0
32,Male,Post-Graduate,IT,Manager,38661,8,1,No,2,0
34,Male,Post-Graduate,IT,Manager,60905,9,1,Yes,2,0
41,Male,Post-Graduate,HR,Lead,56382,5,1,Yes,3,0
29,Male,Graduate,IT,Lead,66384,7,1,No,2,1
49,Female,Post-Graduate,IT,Lead,70193,9,2,No,2,1
39,Male,Post-Graduate,HR,Manager,65946,7,0,No,2,0
37,Male,Post-Graduate,HR,Lead,72300,8,1,No,2,0
39,Female,Post-Graduate,Finance,Lead,93897,6,2,No,3,1
39,Male,PhD,HR,Manager,45792,6,0,Yes,1,0
41,Female,Post-Graduate,Finance,Manager,82380,7,2,No,2,1
39,Female,Post-Graduate,HR,Lead,98751,5,2,Yes,2,1
